"","map_version","biome","ME_mean","ME_sd","MAE_mean","MAE_sd","MSE_mean","MSE_sd","RMSE_mean","RMSE_sd","NSE_mean","NSE_sd","Rsquared_mean","Rsquared_sd"
"60","vB-0-1-3","Amazônia",74.598283,3.90541203041162,1290.948074,3.04079456756708,4253065.365632,30581.8170187965,2062.282944,7.41410237649546,0.370857,0.00451965974852358,0.316453,0.00267956935330883
"61","vB-0-1-3","Caatinga",77.024073,7.76104918416064,972.461368,7.57411296559085,3040321.374362,171955.038402682,1742.966468,49.126282009089,0.674524,0.0184147180924456,0.514125,0.00599063874100688
"62","vB-0-1-3","Cerrado",-102.431994,11.8737293737722,1603.310652,12.3621330506803,21058909.246893,366269.392906624,4588.827071,39.8906458673459,0.407487,0.0103017862038531,0.566949,0.00527120048427818
"63","vB-0-1-3","Mata Atlântica",69.382308,9.52718781328637,1858.39703,9.04507835043763,18415478.162783,256271.145352348,4291.223289,29.8291376546961,0.568443,0.00600318526561803,0.390955,0.00350550432977348
"64","vB-0-1-3","Pampa",179.702311,31.4216987039337,2419.09785,30.0609386297621,44877639.667486,950693.529018731,6698.704522,71.0481800625699,0.077989,0.0195342480652506,0.116308,0.0120240892891031
"65","vB-0-1-3","Pantanal",70.784537,29.6131010776801,1577.072494,23.011824016554,6511094.670557,107252.282186591,2551.599256,20.9831351704862,0.310804,0.0113545249290156,0.555896,0.0165767021613304
"66","vB-0-3","Amazônia",73.521735,2.54720401063459,1250.737851,1.74144869220278,3414272.033347,9966.90689208086,1847.772943,2.6967027121708,0.217874,0.00228913198669829,0.158365,0.00156665860732937
"67","vB-0-3","Caatinga",237.704288,14.6566177554768,1247.882918,11.7382545815246,3459170.790044,80658.3073401865,1859.759605,21.6720536340571,0.115369,0.0206339951673363,0.234333,0.00918272483272451
"68","vB-0-3","Cerrado",81.975173,23.7462646715411,2376.820368,22.126897032518,37734909.798278,376887.026897473,6142.798935,30.6661856964963,-0.03537,0.010344192729852,0.339076,0.00637068919412027
"69","vB-0-3","Mata Atlântica",100.529157,7.4515015835974,1981.471571,5.13617940446078,17883740.627039,82078.4602983594,4228.906163,9.70767628024083,0.390786,0.00279740211372241,0.315005,0.00258985491579133
"70","vB-0-3","Pampa",1199.944783,68.8007168815145,2703.147535,51.4561220220781,11794313.886744,491506.450372726,3433.547354,71.5375771294542,-0.920095,0.0800158574877189,0.088583,0.0190341163931685
"71","vB-0-3","Pantanal",130.084457,38.6143474427046,2349.521554,29.3114126185387,13361939.563178,170541.874197827,3655.325015,23.3243056225348,-0.128243,0.0143957152365458,0.003115,0.00334278583994206
"72","C1_v1_0_0","Brasil",454.7844448,71.431221198872,2087.8522137,58.5644133970243,18634244.7627245,1115549.64597848,4056.8211098,129.631379462304,0.0423107,0.052873253100641,0.1863181,0.0210765299453054
"73","vB-0-3","Brasil",57.0400175,5.28031851604519,963.5285581,5.7433078043944,4212450.3619568,343691.676772037,1967.2543471,62.8902124162561,0.7235434,0.0174846537745579,0.7267541,0.00368592328934685
"74","vB-1-3","Amazônia",63.036913,3.77215403791904,1252.863298,2.51292803238683,3428796.407236,13555.7595343079,1851.697368,3.65994625094054,0.214549,0.0031138172033306,0.153791,0.00247133444507091
"75","vB-1-3","Caatinga",201.696518,20.5733463643411,1220.297646,15.1879218704639,3373030.76582,98649.1259066332,1836.387358,26.8220370609133,0.137391,0.025231446208606,0.248416,0.0128236974450279
"76","vB-1-3","Cerrado",29.540038,36.3252769459165,2320.557306,29.0149646068809,36835731.119003,449587.75896582,6069.133105,36.9884590405715,-0.010691,0.0123348491697468,0.325781,0.01015933361968
"77","vB-1-3","Mata Atlântica",64.02382,11.2987495774327,1971.374353,7.89595456920059,17909896.08968,130952.739384099,4231.980526,15.4698277166082,0.389899,0.00445499367977876,0.315987,0.00383136062547292
"78","vB-1-3","Pampa",970.182064,94.6091243034292,2562.264449,73.5048088620793,9961444.183135,593016.04368601,3154.793217,93.8724261023944,-0.621707,0.0965396116481298,0.099746,0.0466803690273037
"79","vB-1-3","Pantanal",118.48333,68.6488087538313,2329.359476,46.6832434233231,13005809.139358,292237.427886573,3606.131037,40.552702803174,-0.098183,0.0246747122628112,0.006583,0.00904899185187795
"80","C1_v1_0_0","Brasil",454.7844448,71.431221198872,2087.8522137,58.5644133970243,18634244.7627245,1115549.64597848,4056.8211098,129.631379462304,0.0423107,0.052873253100641,0.1863181,0.0210765299453054
"81","vB-1-3","Brasil",44.2844511,5.41394235089495,985.9145656,4.85847963597425,4419031.6030395,303208.20728632,2013.1071194,53.6118848391347,0.7113397,0.0158392435830386,0.7191472,0.00400140431914253
